org;lum;agg;int;atm;col;com;dep;catr;infra;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;situ;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav;gps;lat;long;adr;numac;codeinsee;geoflamatch;nbimplique
1;5;4;1;1;1;10;60;3;0;2210;0;;2;0;31;900;0;2;2;1;0;1;1;1;;;;;;11.23;;0;0;;384680;6010;O;3
1;1;1;1;1;1;112;60;3;0;7;0;;2;2;7;350;0;2;4;1;0;1;1;0;;;;;;11.23;;0;0;;384681;6112;O;2
5;1;7;1;1;6;4;60;4;0;0;0;;2;2;1;0;0;1;1;1;0;1;1;0;0;;0;JUIN AV.MARECHAL;;11.23;;;;;384683;6004;O;2
5;2;7;1;1;3;4;60;4;0;0;0;;2;2;;;0;1;4;1;0;1;1;0;1;14;0;ROSTAGNE AV.DE LA;;11.23;;;;;384684;6004;O;2
5;1;6;1;1;2;123;60;2;0;0;0;;3;3;;;0;1;1;1;0;1;1;1;1;;0;BORD DE MER RN 98;;11.23;;;;;384685;6123;O;3
5;1;7;1;1;3;29;60;4;0;0;0;;3;4;;;0;1;2;1;0;1;1;1;9;0;0;RIVAGE (BOULEVARD DU);;11.23;;;;;384686;6029;O;3
5;1;7;3;1;2;29;60;4;0;0;0;;1;1;;;0;2;1;1;0;1;1;1;1;0;0;GUYNEMER (BOULEVARD);;11.23;;;;;384687;6029;O;3
5;5;9;1;1;6;88;60;4;0;0;0;;3;4;;;0;1;1;1;0;1;1;2;1;0;0;VOIE RAPIDE;;11.23;;;;;384688;6088;O;4
1;5;1;1;1;6;92;60;3;0;21;2;;2;2;4;800;0;0;1;1;0;1;1;0;;;;;;11.23;;0;0;;384689;6092;O;2
5;1;7;1;1;3;4;60;4;0;0;0;;0;2;;;0;1;1;1;0;1;1;0;1;66;0;POINCARE BD RAYMOND;;11.23;;;;;384690;6004;O;2
5;1;7;1;1;3;4;60;2;0;0;0;;2;2;;;0;1;1;1;0;1;1;0;1;715;0;NICE(RN.7) AV.ET RTE DE;;11.23;;;;;384691;6004;O;2
5;1;7;6;1;3;4;60;4;5;0;0;;4;0;1;0;0;1;2;1;0;1;1;1;0;;0;CHATAIGNIERS AV.DU;;11.23;;;;;384692;6004;O;3
5;5;9;1;1;3;88;60;4;0;0;0;;2;2;;;0;2;1;1;0;1;1;0;1;64;0;RAYNAUD (BD AUGUSTE);;11.23;;;;;384693;6088;O;2
5;1;9;1;1;3;88;60;4;3;0;0;;3;4;;;0;1;3;1;0;1;1;0;1;327;0;TURIN (RTE DE);;11.23;;;;;384694;6088;O;2
5;1;9;1;1;5;88;60;4;0;0;0;;3;7;;;0;1;1;1;0;1;1;1;1;0;0;ANGLAIS (DU N° 1 AU N° 43);;11.23;;;;;384695;6088;O;3
1;1;5;2;1;3;79;60;4;0;1;0;;2;0;0;0;0;0;1;1;0;1;1;0;;;;;;11.23;;0;0;;384696;6079;O;2
1;5;5;1;1;3;95;60;4;0;0;0;;2;2;0;0;0;2;1;1;0;1;1;1;;;;;;11.23;;0;0;;384697;6095;O;3
1;1;1;1;1;6;111;60;3;0;2205;0;;2;2;29;250;0;1;3;3;0;1;1;0;;;;;;11.23;;4412700;709100;;384698;6111;O;2
1;5;1;1;1;6;152;60;3;0;35;0;S;1;2;5;700;0;2;1;3;0;1;1;0;;;;;;11.23;;4364000;700500;;384699;6152;O;2
5;1;7;1;2;4;4;60;2;0;0;0;;2;2;1;0;0;1;0;1;0;1;1;1;0;;0;LITTORAL(BDM APRES BIJOU PLAGE RN98;;11.23;;;;;384700;6004;O;3
5;1;6;1;1;4;123;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;465;0;PAGNOL MARCEL BOULEVARD;;11.23;;;;;384701;6123;O;3
